Year,Quantum_Computing_Market_USD_Billion,Classical_Computing_Market_USD_Billion,Quantum_Speedup_Factor,Qubit_Count,Error_Rate_Percent,Quantum_AI_Applications,Industry_Adoption_Percent,Data_Processing_Speed_PB_per_sec,Investment_USD_Billion
2020,0.47,412,1.2,50,3.5,5,2,0.01,0.93
2021,0.61,430,1.5,66,3.1,8,3,0.02,1.1
2022,0.78,448,1.9,127,2.8,13,5,0.04,1.4
2023,1.02,467,2.4,156,2.4,20,7,0.08,1.75
2024,1.3,490,3.1,433,2.0,31,10,0.17,2.2
2025,1.76,512,4.0,1121,1.7,48,14,0.35,2.85
2026,2.35,535,5.3,2000,1.4,73,19,0.72,3.7
2027,3.18,558,7.1,4158,1.1,110,26,1.5,4.9
2028,4.5,580,9.5,8000,0.9,166,34,3.1,6.5
2029,6.1,602,12.8,15000,0.7,249,44,6.4,8.6
2030,8.4,622,17.2,30000,0.55,373,55,13.2,11.4
2031,11.5,640,23.1,60000,0.42,559,66,27.3,15.1
2032,15.8,656,31.0,120000,0.32,838,75,56.5,20.0
2033,21.2,670,41.5,250000,0.24,1256,82,116.9,26.5
2034,28.7,682,55.8,500000,0.18,1883,88,241.8,35.1
2035,38.9,693,74.9,1000000,0.13,2824,92,500.0,46.5
